Site Number,Pb_Content,Longitude,Latitude,
0,455,-75.115734,39.976646, 
1,867,-75.115863,39.976662,
2,315,-75.115592,39.976635,
3,705,-75.115842,39.976736,
4,176,-75.116700,39.980600,
5,183,-75.116900,39.980200,
6,161,-75.116500,39.977700,
7,227,-75.116600,39.979200,
8,92,-75.116100,39.979600,
9,168,-75.130478,39.970949,
10,102,-75.130438,39.970869,
11,56,-75.130379,39.970892,
12,1760,-75.126400,39.972500,
13,1966,-75.126400,39.972500,
14,821,-75.126500,39.972500,
15,1052,-75.126500,39.972500,
16,137,-75.127600,39.971800,
17,147,-75.127600,39.971900,
18,69,-75.127800,39.971800,
19,94,-75.128000,39.971700,
20,517,-75.123037,39.981730,
21,543,-75.123103,39.981703,
22,98,-75.126676,39.978853,
23,179,-75.126638,39.978864,
24,458,-75.130023,39.971182,
25,541,-75.130003,39.971148,
26,70,-75.111000,39.978700,
27,109,-75.110900,39.979800,
28,68,-75.110900,39.980400,
29,46,-75.112200,39.980000,
30,76,-75.112300,39.979000,
31,93,-75.112200,39.979000,
32,65,-75.112400,39.979100,
33,217,-75.112200,39.979000,
34,258,-75.112000,39.978800,
35,47,-75.110200,39.979000,
36,690,-75.110300,39.979800,
37,429,-75.110300,39.979700,
38,184,-75.110500,39.979900,
39,238,-75.110600,39.979800,
40,228,-75.110600,39.979800,
41,127,-75.110700,39.979800,
42,123,-75.110700,39.979700,
43,103,-75.110800,39.979700,
44,103,-75.112100,39.979000,
45,149,-75.109800,39.979300,
46,160,-75.109600,39.979500,
47,29,-75.108100,39.979300,
48,25,-75.108200,39.979500,
49,458,-75.108400,39.979700,
50,468,-75.108500,39.979600,
51,558,-75.108500,39.979600,
52,389,-75.108400,39.979500,
53,Not detected,-75.106500,39.981500,
54,34,-75.106600,39.981300,
55,255,-75.107300,39.982200,
56,40,-75.107400,39.982200,
57,218,-75.108500,39.982500,
58,296,-75.108700,39.982400,
59,111,-75.109000,39.982300,
60,114,-75.109200,39.982500,
61,94,-75.108700,39.982800,
62,331,-75.110800,39.980400,
63,654,-75.114600,39.982300,
64,305,-75.114500,39.982500,
65,460,-75.122100,39.977100,
66,514,-75.112000,39.977200,
67,857,-75.122000,39.977200,
68,330,-75.122100,39.977200,
69,807,-75.121900,39.977200,
70,268,-75.124000,39.972500,
71,686,-75.119100,39.974200,
72,2332,-75.118900,39.974300,
73,657,-75.118700,39.974500,
74,547,-75.118500,39.974600,
75,272,-75.118300,39.974600,
76,137,-75.118100,39.974700,
77,Not detected,-75.117900,39.974800,
78,281,-75.117500,39.975000,
79,308,-75.117300,39.974700,
80,608,-75.121400,39.976700,
81,126,-75.125100,39.976600,
82,485,-75.124500,39.976200,
83,545,-75.124600,39.976200,
84,141,-75.123600,39.975000,
85,374,-75.123600,39.975000,
86,1042,-75.123200,39.973700,
87,532,-75.129357,39.968956,
88,323,-75.129334,39.968916,
89,74,-75.130423,39.970918,
90,137,-75.130416,39.970969,
91,346,-75.129763,39.971353,
92,340,-75.129752,39.971375,
93,353,-75.129768,39.971398,
94,91,-75.130700,39.971100,
95,226,-75.129600,39.971500,
96,79,-75.131100,39.971600,
97,234,-75.131387,39.969328,
98,570,-75.131437,39.969315,
99,226,-75.131400,39.969700,
100,54,-75.129900,39.968900,
101,23,-75.127800,39.971600,
102,99,-75.128400,39.971500,
103,256,-75.130100,39.969500,
104,159,-75.129500,39.968500,
105,312,-75.126300,39.970400,
106,383,-75.125800,39.970500,
107,350,-75.125300,39.970700,
108,758,-75.120000,39.978400,
109,268,-75.120500,39.977900,
110,1240,-75.120400,39.978000,
111,689,-75.120400,39.978000,
112,651,-75.120200,39.978100,
113,49,-75.120300,39.978100,
114,710,-75.120300,39.978100,
115,878,-75.120200,39.978100,
116,67,-75.120100,39.978200,
117,299,-75.112000,39.978800,
118,408,-75.111900,39.978600,
119,106,-75.111700,39.978400,
120,73,-75.111200,39.978600,
121,310,-75.112000,39.979600,
122,243,-75.113900,39.981800,
123,121,-75.111000,39.979600,
